🐼看电视呗👉测试,#genre#
保留版权,https://gitee.com/tv2785/iptv/raw/master/ad.mp4

CCTV1-综合,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8?key=tvbox6_com&playlive=0&authid=0
CCTV2-财经,http://110.80.17.38:9901/tsfile/live/0002_1.m3u8?key=tvbox6_com&playlive=0&authid=0
CCTV3-综艺,http://110.80.17.38:9901/tsfile/live/0003_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV4-国际,http://110.80.17.38:9901/tsfile/live/0004_1.m3u8?key=tvbox6_com&playlive=0&authid=0
CCTV5-体育,http://110.80.17.38:9901/tsfile/live/0005_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV6-电影,http://110.80.17.38:9901/tsfile/live/0006_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV7-军农,http://110.80.17.38:9901/tsfile/live/0007_1.m3u8?key=tvbox6_com&playlive=0&authid=0
CCTV8-电视剧,http://110.80.17.38:9901/tsfile/live/0008_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV9-纪录,http://110.80.17.38:9901/tsfile/live/0009_1.m3u8?key=tvbox6_com&playlive=0&authid=0
CCTV10-科教,http://110.80.17.38:9901/tsfile/live/0010_1.m3u8?key=tvbox6_com&playlive=0&authid=0
CCTV12-社会与法,http://110.80.17.38:9901/tsfile/live/0012_1.m3u8?key=tvbox6_com&playlive=0&authid=0
CCTV13-新闻,http://110.80.17.38:9901/tsfile/live/0013_1.m3u8?key=tvbox6_com&playlive=0&authid=0
厦门卫视,http://110.80.17.38:9901/tsfile/live/0128_1.m3u8?key=tvbox6_com&playlive=1&authid=0
福建乡村,http://110.80.17.38:9901/tsfile/live/0130_1.m3u8?key=tvbox6_com&playlive=1&authid=0
福建新闻,http://110.80.17.38:9901/tsfile/live/0122_1.m3u8?key=tvbox6_com&playlive=1&authid=0
福建旅游,http://110.80.17.38:9901/tsfile/live/0138_1.m3u8?key=tvbox6_com&playlive=1&authid=0
上海卫视,http://110.80.17.38:9901/tsfile/live/0107_2.m3u8?key=tvbox6_com&playlive=0&authid=0
江苏卫视,http://110.80.17.38:9901/tsfile/live/0127_1.m3u8?key=tvbox6_com&playlive=0&authid=0
浙江卫视,http://110.80.17.38:9901/tsfile/live/0124_1.m3u8?key=tvbox6_com&playlive=0&authid=0
广东卫视,http://110.80.17.38:9901/tsfile/live/0125_1.m3u8?key=tvbox6_com&playlive=0&authid=0
金鹰卡通,http://110.80.17.38:9901/tsfile/live/0016_2.m3u8?key=tvbox6_com&playlive=1&authid=0
江西卫视,http://110.80.17.38:9901/tsfile/live/0138_2.m3u8?key=tvbox6_com&playlive=0&authid=0
湖北卫视,http://110.80.17.38:9901/tsfile/live/0132_1.m3u8?key=tvbox6_com&playlive=0&authid=0
安徽卫视,http://110.80.17.38:9901/tsfile/live/0130_2.m3u8?key=tvbox6_com&playlive=0&authid=0
河北卫视,http://110.80.17.38:9901/tsfile/live/0117_1.m3u8?key=tvbox6_com&playlive=0&authid=0
北京卫视,http://110.80.17.38:9901/tsfile/live/0122_2.m3u8?key=tvbox6_com&playlive=0&authid=0
广西卫视,http://110.80.17.38:9901/tsfile/live/0113_1.m3u8?key=tvbox6_com&playlive=0&authid=0
山东卫视,http://110.80.17.38:9901/tsfile/live/0131_1.m3u8?key=tvbox6_com&playlive=0&authid=0
山西卫视,http://110.80.17.38:9901/tsfile/live/0118_1.m3u8?key=tvbox6_com&playlive=0&authid=0
四川卫视,http://110.80.17.38:9901/tsfile/live/0123_1.m3u8?key=tvbox6_com&playlive=0&authid=0
云南卫视,http://110.80.17.38:9901/tsfile/live/0119_1.m3u8?key=tvbox6_com&playlive=0&authid=0
贵州卫视,http://110.80.17.38:9901/tsfile/live/0120_1.m3u8?key=tvbox6_com&playlive=0&authid=0
陕西卫视,http://110.80.17.38:9901/tsfile/live/0136_1.m3u8?key=tvbox6_com&playlive=0&authid=0
甘肃卫视,http://110.80.17.38:9901/tsfile/live/0141_1.m3u8?key=tvbox6_com&playlive=0&authid=0
重庆卫视,http://110.80.17.38:9901/tsfile/live/0142_1.m3u8?key=tvbox6_com&playlive=0&authid=0
天津卫视,http://110.80.17.38:9901/tsfile/live/0135_1.m3u8?key=tvbox6_com&playlive=0&authid=0
兵团卫视,http://110.80.17.38:9901/tsfile/live/0015_1.m3u8?key=tvbox6_com&playlive=1&authid=0
宁夏卫视,http://110.80.17.38:9901/tsfile/live/0016_1.m3u8?key=tvbox6_com&playlive=1&authid=0
新疆卫视,http://110.80.17.38:9901/tsfile/live/0018_1.m3u8?key=tvbox6_com&playlive=1&authid=0
更多请进,https://gitee.com/tv2785/iptv/raw/master/ad.mp4
